

"Landmark_ID","Name","Type","Address","Latitude","Longitude"
"1","Puerta del Sol","Monument","Puerta del Sol, 1, 28013 Madrid","40.4167","-3.7033"
"2","Royal Palace of Madrid","Palace","Calle de Bailén, s/n, 28005 Madrid","40.4233","-3.7142"
"3","Prado Museum","Museum","Calle de Felipe IV, s/n, 28014 Madrid","40.4128","-3.6953"
"4","Retiro Park","Park","Plaza de la Independencia, s/n, 28001 Madrid","40.4122","-3.6844"
"5","Plaza Mayor","Square","Plaza Mayor, s/n, 28012 Madrid","40.4153","-3.7067"
"6","Almudena Cathedral","Cathedral","Calle de Bailén, 10, 28005 Madrid","40.4242","-3.7156"
"7","Thyssen-Bornemisza Museum","Museum","Passeo del Prado, 8, 28014 Madrid","40.4144","-3.6939"
"8","Reina Sofia Museum","Museum","Calle de Santa Isabel, 52, 28012 Madrid","40.4083","-3.6944"
"9","Gran Vía","Avenue","Gran Vía, 28013 Madrid","40.4203","-3.7024"
"10","Debod Temple","Temple","Calle de Ferraz, 1, 28008 Madrid","40.4292","-3.7333"

